xF,pT,xsect,error
0.000,0.05,1.903485,0.115351
0.000,0.10,2.152879,0.091497
0.000,0.15,1.937695,0.105217
0.000,0.20,1.600085,0.074404
0.000,0.25,1.598676,0.089046
0.000,0.30,1.301165,0.057121
0.000,0.40,0.908563,0.031891
0.000,0.50,0.587726,0.024097
0.000,0.60,0.379587,0.016664
0.000,0.70,0.234766,0.010846
0.000,0.80,0.150240,0.008038
0.000,0.90,0.091015,0.006462
0.000,1.10,0.033974,0.002263
0.000,1.30,0.011293,0.001093
0.000,1.50,0.004350,0.000669
0.000,1.70,0.002107,0.000396
0.010,0.05,2.042023,0.102918
0.010,0.10,2.151219,0.097665
0.010,0.15,1.884684,0.092915
0.010,0.20,1.682909,0.087343
0.010,0.25,1.661499,0.083740
0.010,0.30,1.187590,0.066267
0.010,0.40,0.906520,0.039977
0.010,0.50,0.551165,0.032408
0.025,0.05,2.269852,0.069231
0.025,0.10,2.041088,0.042251
0.025,0.15,1.907213,0.037000
0.025,0.20,1.716943,0.029016
0.025,0.25,1.522088,0.042923
0.025,0.30,1.291354,0.032155
0.025,0.40,0.905271,0.021274
0.025,0.50,0.571645,0.016978
0.025,0.60,0.378040,0.013042
0.025,0.70,0.237374,0.009851
0.025,0.80,0.139104,0.007706
0.025,0.90,0.083274,0.005879
0.025,1.10,0.030320,0.002192
0.050,0.05,1.911075,0.066314
0.050,0.10,1.847299,0.040086
0.050,0.15,1.734597,0.036253
0.050,0.20,1.501016,0.026118
0.050,0.25,1.296440,0.024762
0.050,0.30,1.140731,0.021560
0.050,0.40,0.796333,0.012264
0.050,0.50,0.537536,0.013653
0.050,0.60,0.356975,0.011209
0.050,0.70,0.203815,0.008805
0.050,0.80,0.135565,0.007239
0.050,0.90,0.077025,0.005338
0.050,1.10,0.030283,0.002056
0.050,1.30,0.011211,0.001238
0.050,1.50,0.004874,0.000819
0.075,0.05,1.530415,0.065655
0.075,0.10,1.540357,0.044978
0.075,0.15,1.422436,0.035845
0.075,0.20,1.333042,0.030127
0.075,0.25,1.147250,0.025469
0.075,0.30,0.997048,0.021237
0.075,0.40,0.736273,0.012296
0.075,0.50,0.475089,0.009597
0.075,0.60,0.307283,0.007375
0.075,0.70,0.177941,0.007224
0.075,0.80,0.125821,0.005876
0.075,0.90,0.061407,0.004587
0.100,0.05,1.294453,0.067570
