xF,pT,xsect,error
0.000,0.05,2.784907,0.201349
0.000,0.10,2.955064,0.146571
0.000,0.15,2.561649,0.161128
0.000,0.20,2.350060,0.117503
0.000,0.25,1.951551,0.132706
0.000,0.30,1.747789,0.084243
0.000,0.40,1.289349,0.046674
0.000,0.50,0.839309,0.035503
0.000,0.60,0.530008,0.020617
0.000,0.70,0.371399,0.016602
0.000,0.80,0.240874,0.012839
0.000,0.90,0.141189,0.009530
0.000,1.10,0.057985,0.003624
0.000,1.30,0.023092,0.001857
0.000,1.50,0.010632,0.001361
0.000,1.70,0.003538,0.000612
0.010,0.05,2.734292,0.144918
0.010,0.10,3.224845,0.136088
0.010,0.15,2.532275,0.129146
0.010,0.20,2.266861,0.121730
0.010,0.25,2.109377,0.108422
0.010,0.30,1.692293,0.093245
0.010,0.40,1.232197,0.051999
0.010,0.50,0.915947,0.046897
0.025,0.05,3.173893,0.089821
0.025,0.10,2.799066,0.063539
0.025,0.15,2.597549,0.053510
0.025,0.20,2.293503,0.042889
0.025,0.25,2.014194,0.062239
0.025,0.30,1.762424,0.047585
0.025,0.40,1.224062,0.031214
0.025,0.50,0.818578,0.025703
0.025,0.60,0.538696,0.019770
0.025,0.70,0.332751,0.014042
0.025,0.80,0.215715,0.011476
0.025,0.90,0.135841,0.009006
0.025,1.10,0.059520,0.004018
0.050,0.05,2.796614,0.093127
0.050,0.10,2.571753,0.057350
0.050,0.15,2.460287,0.047483
0.050,0.20,2.218939,0.037500
0.050,0.25,1.903817,0.032936
0.050,0.30,1.625116,0.026977
0.050,0.40,1.176841,0.018123
0.050,0.50,0.804305,0.019786
0.050,0.60,0.539264,0.016987
0.050,0.70,0.319958,0.013310
0.050,0.80,0.215133,0.010950
0.050,0.90,0.128571,0.008640
0.050,1.10,0.049805,0.003367
0.050,1.30,0.019428,0.001764
0.050,1.50,0.009186,0.001167
0.075,0.05,2.438086,0.086308
0.075,0.10,2.343880,0.061410
0.075,0.15,2.069974,0.047195
0.075,0.20,2.092630,0.041434
0.075,0.25,1.788801,0.034703
0.075,0.30,1.516708,0.029121
0.075,0.40,1.073520,0.016747
0.075,0.50,0.739752,0.013463
0.075,0.60,0.486528,0.010217
0.075,0.70,0.322819,0.010718
0.075,0.80,0.190331,0.008584
0.075,0.90,0.135674,0.007245
0.100,0.05,2.169417,0.096973
0.100,0.10,2.046309,0.053409
0.100,0.15,1.954661,0.052971
0.100,0.20,1.738290,0.035809
0.100,0.25,1.562787,0.037194
0.100,0.30,1.395363,0.025954
0.100,0.40,0.962666,0.016558
0.100,0.50,0.679881,0.013598
0.100,0.60,0.446220,0.009326
0.100,0.70,0.275958,0.007534
0.100,0.80,0.181153,0.007210
0.100,0.90,0.121655,0.006034
0.100,1.10,0.048519,0.002416
0.100,1.30,0.018350,0.001473
0.100,1.50,0.008557,0.000989
0.100,1.70,0.002906,0.000401
0.125,0.05,1.866863,0.102864
0.125,0.10,1.758120,0.073841
0.125,0.15,1.813115,0.058201
0.125,0.20,1.603381,0.049865
0.125,0.25,1.378869,0.039298
0.125,0.30,1.243211,0.034188
0.125,0.40,0.911847,0.019970
0.125,0.50,0.617293,0.014815
0.125,0.60,0.410481,0.011576
0.125,0.70,0.259312,0.009128
0.125,0.80,0.170902,0.008494
0.125,0.90,0.110193,0.006788
0.150,0.05,1.600945,0.103581
0.150,0.10,1.469367,0.060097
0.150,0.15,1.395812,0.056112
0.150,0.20,1.390376,0.041155
0.150,0.25,1.313289,0.045177
0.150,0.30,1.056521,0.029160
0.150,0.40,0.808821,0.019897
0.150,0.50,0.574039,0.014868
0.150,0.60,0.384501,0.011381
0.150,0.70,0.245338,0.008734
0.150,0.80,0.152800,0.006632
0.150,0.90,0.101868,0.005654
0.150,1.10,0.040011,0.002061
0.150,1.30,0.018375,0.001523
0.150,1.50,0.004583,0.000848
0.200,0.10,1.219721,0.051350
0.200,0.20,0.995311,0.033243
