xF,pT,xsect,error
0.000,0.050,62.87363,0.38353
0.000,0.100,59.66060,0.34603
0.000,0.150,51.19669,0.28158
0.000,0.200,41.41528,0.26920
0.000,0.250,31.99847,0.18239
0.000,0.300,24.11357,0.11816
0.000,0.400,13.19803,0.07523
0.000,0.500,7.21175,0.05553
0.000,0.600,4.10195,0.04184
0.000,0.700,2.21905,0.03129
0.000,0.800,1.21342,0.02257
0.000,0.900,0.68864,0.01715
0.000,1.000,0.38562,0.01276
0.000,1.100,0.24775,0.00644
0.000,1.200,0.13587,0.00481
0.000,1.300,0.07966,0.00363
0.000,1.400,0.04815,0.00288
0.000,1.500,0.02956,0.00225
0.000,1.700,0.01215,0.00075
0.000,1.900,0.00406,0.00041
0.000,2.100,0.00172,0.00027

0.010,0.050,62.78768,0.41440
0.010,0.100,58.90707,0.36522
0.010,0.150,50.86540,0.29502
0.010,0.200,40.78223,0.19983
0.010,0.250,31.93172,0.16924
0.010,0.300,23.88710,0.14810
0.010,0.400,13.20930,0.07529
0.010,0.500,7.29745,0.05692
0.010,0.600,3.92047,0.04195
0.010,0.700,2.23267,0.03126
0.010,0.800,1.25857,0.02354
0.010,0.900,0.68070,0.01709
0.010,1.000,0.39722,0.01279

0.020,0.050,59.43521,0.38633
0.020,0.100,54.54794,0.26183
0.020,0.150,47.98246,0.26390
0.020,0.200,39.58496,0.20188
0.020,0.250,30.47362,0.16760
0.020,0.300,23.03333,0.13820
0.020,0.400,12.75800,0.07400
0.020,0.500,7.04587,0.05637
0.020,0.600,3.92294,0.04158
0.020,0.700,2.16983,0.03103
0.020,0.800,1.18287,0.02236
0.020,0.900,0.70225,0.01706
0.020,1.000,0.38330,0.01276

0.025,1.100,0.23554,0.00820
0.025,1.200,0.13540,0.00619
0.025,1.300,0.07503,0.00455
0.025,1.400,0.04479,0.00360
0.025,1.500,0.02772,0.00276

0.030,0.050,51.53431,0.32467
0.030,0.100,51.48606,0.27802
0.030,0.150,45.66301,0.26485
0.030,0.200,37.36664,0.20925
0.030,0.250,29.46784,0.17975
0.030,0.300,22.00083,0.14741
0.030,0.400,12.10955,0.07387
0.030,0.500,6.69047,0.05687
0.030,0.600,3.72343,0.04133
0.030,0.700,2.02679,0.03081
