iter	Passed	Remaining
0	6	13050
1	10	10770
2	14	9945
3	25	12641
4	33	13518
5	54	18166
6	58	16742
7	62	15672
8	67	14849
9	71	14183
10	75	13639
11	79	13172
12	84	12880
13	88	12562
14	92	12273
15	99	12291
16	103	12060
17	108	11970
18	113	11829
19	117	11676
20	122	11580
21	223	20135
22	229	19706
23	234	19275
24	238	18849
25	243	18452
26	247	18113
27	252	17796
28	256	17432
29	261	17186
30	267	16989
31	272	16752
32	276	16503
33	282	16326
34	287	16117
35	291	15902
36	296	15745
37	302	15625
38	307	15471
39	312	15302
40	317	15160
41	321	15003
42	326	14879
43	332	14764
44	337	14672
45	342	14564
46	347	14439
47	352	14327
48	355	14167
49	360	14069
50	365	13983
51	371	13900
52	375	13811
53	380	13728
54	386	13651
55	390	13567
56	396	13523
57	401	13443
58	405	13355
59	411	13292
60	415	13205
61	420	13130
62	424	13065
63	430	13016
64	435	12962
65	440	12902
66	445	12844
67	449	12777
68	453	12704
69	459	12667
70	464	12627
71	469	12585
72	475	12539
73	480	12493
74	485	12449
75	490	12411
76	496	12388
77	500	12334
78	505	12292
79	510	12251
80	515	12209
81	520	12162
82	525	12135
83	532	12136
84	539	12146
85	545	12138
86	553	12175
87	560	12182
88	568	12206
89	577	12260
90	594	12475
91	601	12471
92	617	12653
93	628	12742
94	638	12802
95	644	12783
96	664	13038
97	669	12986
98	677	13007
99	682	12959
100	686	12905
101	695	12933
102	701	12912
103	708	12911
104	712	12861
105	716	12808
106	721	12759
107	727	12741
108	731	12693
109	746	12826
110	751	12790
111	757	12772
112	765	12782
113	769	12736
114	781	12801
115	785	12757
116	789	12710
117	794	12664
118	798	12618
119	805	12620
120	809	12576
121	814	12530
122	822	12548
123	830	12567
124	835	12532
125	839	12483
126	844	12454
127	848	12412
128	853	12373
129	857	12331
130	861	12293
131	865	12254
132	869	12211
133	874	12178
134	879	12144
135	883	12110
136	888	12087
137	893	12052
138	897	12014
139	900	11964
140	904	11927
141	909	11900
142	913	11863
143	918	11835
144	922	11798
145	927	11784
146	933	11771
147	937	11737
148	942	11702
149	946	11670
150	951	11645
151	954	11607
152	959	11587
153	965	11568
154	969	11536
155	974	11515
156	979	11492
157	983	11464
158	987	11432
159	992	11408
160	996	11377
161	1000	11345
162	1004	11323
163	1009	11302
164	1013	11275
165	1018	11249
166	1023	11235
167	1028	11219
168	1033	11196
169	1038	11175
170	1043	11156
171	1047	11132
172	1051	11107
173	1056	11084
174	1060	11058
175	1064	11034
176	1068	11007
177	1073	10985
178	1078	10969
179	1082	10945
180	1087	10928
181	1092	10908
182	1096	10887
183	1101	10871
184	1106	10853
185	1111	10836
186	1115	10819
187	1120	10797
188	1125	10780
189	1129	10756
190	1133	10734
191	1138	10720
192	1142	10701
193	1147	10681
194	1151	10660
195	1155	10637
196	1160	10618
197	1164	10596
198	1168	10577
199	1174	10569
200	1188	10637
201	1192	10616
202	1196	10594
203	1218	10729
204	1222	10707
205	1233	10740
206	1239	10736
207	1243	10716
208	1252	10734
209	1261	10753
210	1265	10733
211	1270	10712
212	1274	10691
213	1278	10670
214	1282	10649
215	1286	10628
216	1291	10608
217	1295	10588
218	1299	10567
219	1303	10548
220	1308	10529
221	1312	10512
222	1316	10493
223	1321	10474
224	1325	10455
225	1329	10436
226	1348	10529
227	1352	10511
228	1362	10539
229	1384	10656
230	1410	10805
231	1427	10876
232	1445	10962
233	1449	10941
234	1454	10926
235	1459	10906
236	1463	10889
237	1472	10901
238	1477	10886
239	1482	10869
240	1486	10851
241	1491	10832
242	1496	10821
243	1501	10804
244	1506	10788
245	1510	10769
246	1514	10751
247	1519	10735
248	1523	10715
249	1528	10697
250	1532	10679
251	1537	10666
252	1542	10650
253	1546	10630
254	1551	10613
255	1555	10593
256	1559	10577
257	1564	10561
258	1575	10591
259	1580	10573
260	1584	10558
261	1590	10551
262	1594	10533
263	1598	10513
264	1603	10497
265	1607	10480
266	1612	10463
267	1616	10447
268	1623	10447
269	1628	10431
270	1632	10416
271	1637	10403
272	1641	10387
273	1646	10370
274	1651	10356
275	1655	10342
276	1660	10326
277	1664	10308
278	1669	10295
279	1673	10279
280	1677	10264
281	1682	10247
282	1686	10233
283	1691	10220
284	1695	10204
285	1700	10192
286	1705	10177
287	1709	10162
288	1714	10148
289	1718	10135
290	1723	10121
291	1727	10107
292	1732	10091
293	1737	10081
294	1741	10066
295	1746	10052
296	1750	10039
297	1755	10027
298	1760	10012
299	1764	9999
300	1770	9994
301	1775	9980
302	1779	9966
303	1783	9951
304	1787	9934
305	1792	9921
306	1796	9907
307	1801	9897
308	1806	9886
309	1811	9872
310	1840	9993
311	1876	10155
312	1884	10159
313	1889	10145
314	1893	10131
315	1898	10116
316	1904	10109
317	1913	10123
318	1940	10224
319	1944	10208
320	1971	10309
321	1975	10294
322	1979	10278
323	1983	10262
324	1990	10258
325	1994	10242
326	1998	10227
327	2003	10211
328	2007	10195
329	2011	10180
330	2015	10164
331	2020	10149
332	2024	10134
333	2040	10175
334	2044	10161
335	2050	10153
336	2054	10137
337	2058	10122
338	2062	10107
339	2067	10092
340	2071	10077
341	2075	10062
342	2079	10047
343	2093	10080
344	2103	10088
345	2108	10078
346	2112	10063
347	2116	10048
348	2121	10036
349	2125	10022
350	2130	10007
351	2135	9996
352	2140	9985
353	2144	9972
354	2149	9960
355	2154	9947
356	2158	9933
357	2163	9922
358	2167	9909
359	2172	9896
360	2177	9885
361	2181	9872
362	2186	9860
363	2190	9847
364	2195	9834
365	2200	9824
366	2204	9809
367	2209	9798
368	2213	9784
369	2218	9773
370	2223	9761
371	2227	9747
372	2231	9734
373	2236	9723
374	2240	9708
375	2244	9693
376	2249	9683
377	2253	9668
378	2257	9656
379	2262	9644
380	2267	9633
381	2272	9623
382	2277	9613
383	2281	9603
384	2286	9592
385	2291	9579
386	2295	9568
387	2299	9555
388	2304	9543
389	2308	9530
390	2313	9518
391	2317	9507
392	2322	9496
393	2326	9484
394	2331	9475
395	2336	9464
396	2340	9451
397	2345	9441
398	2349	9428
399	2356	9427
400	2361	9416
401	2366	9405
402	2370	9393
403	2375	9383
404	2379	9372
405	2384	9362
406	2389	9353
407	2393	9340
408	2398	9328
409	2402	9317
410	2407	9307
411	2411	9294
412	2416	9285
413	2420	9273
414	2425	9263
415	2430	9255
416	2435	9245
417	2440	9236
418	2445	9226
419	2449	9215
420	2454	9206
421	2459	9195
422	2464	9187
423	2472	9190
424	2476	9178
425	2482	9171
426	2486	9159
427	2491	9151
428	2496	9140
429	2500	9130
430	2505	9120
431	2510	9112
432	2515	9102
433	2519	9092
434	2524	9083
435	2529	9074
436	2535	9067
437	2539	9057
438	2544	9049
439	2549	9039
440	2554	9032
441	2559	9023
442	2564	9013
443	2570	9007
444	2574	8996
445	2579	8988
446	2584	8977
447	2588	8968
448	2594	8961
449	2599	8954
450	2605	8947
451	2610	8941
452	2616	8933
453	2622	8930
454	2627	8923
455	2633	8915
456	2638	8908
457	2643	8900
458	2648	8892
459	2653	8885
460	2658	8873
461	2662	8864
462	2667	8854
463	2672	8846
464	2676	8836
465	2680	8825
466	2685	8816
467	2690	8807
468	2696	8803
469	2701	8793
470	2705	8783
471	2710	8774
472	2715	8765
473	2719	8756
474	2725	8750
475	2730	8742
476	2735	8732
477	2739	8723
478	2745	8718
479	2750	8709
480	2754	8700
481	2761	8696
482	2766	8688
483	2771	8679
484	2775	8669
485	2780	8660
486	2784	8650
487	2789	8641
488	2794	8634
489	2798	8625
490	2803	8617
491	2808	8607
492	2814	8602
493	2818	8592
494	2823	8584
495	2829	8579
496	2833	8569
497	2839	8562
498	2844	8556
499	2849	8549
500	2854	8540
501	2858	8530
502	2863	8522
503	2868	8513
504	2872	8504
505	2877	8497
506	2882	8488
507	2893	8496
508	2898	8491
509	2903	8481
510	2919	8506
511	2923	8497
512	2928	8488
513	2933	8480
514	2968	8560
515	2982	8577
516	2994	8589
517	3010	8614
518	3015	8604
519	3021	8600
520	3039	8627
521	3044	8620
522	3052	8620
523	3068	8644
524	3073	8634
525	3077	8624
526	3081	8613
527	3086	8603
528	3092	8598
529	3130	8682
530	3153	8722
531	3172	8754
532	3199	8807
533	3204	8796
534	3208	8786
535	3212	8775
536	3217	8766
